t[s] h[m]  P[Pa]  ax[g] alfa[deg] beta[deg] pitch[deg] yaw[deg] rol[deg] 
0.000 -0.000 101325.00 0.985  NaN  NaN 80.000 0.000 0.000
0.001 -0.000 101325.00 0.985  NaN  NaN 80.000 0.000 0.000
0.004 -0.000 101325.00 0.985  NaN  NaN 80.000 0.000 0.000
0.010 -0.000 101325.00 0.985  NaN  NaN 80.000 0.000 0.000
0.016 -0.000 101325.00 0.986  NaN  NaN 80.000 0.000 0.000
0.017 -0.000 101325.00 1.014  NaN  NaN 80.000 0.000 0.000
0.018 0.000 101325.00 1.079  NaN  NaN 80.000 0.000 0.000
0.020 0.000 101325.00 1.199  NaN  NaN 80.000 0.000 0.000
0.023 0.000 101325.00 1.325  NaN  NaN 80.000 0.000 0.000
0.025 0.000 101325.00 1.579  NaN  NaN 80.000 0.000 0.000
0.031 0.000 101325.00 1.995  NaN  NaN 80.000 0.000 0.000
0.042 0.002 101324.98 2.495  NaN  NaN 80.000 0.000 0.000
0.054 0.005 101324.94 3.163  NaN  NaN 80.000 0.000 0.000
0.065 0.011 101324.87 4.165  NaN  NaN 80.000 0.000 0.000
0.087 0.034 101324.60 5.168  NaN  NaN 80.000 0.000 0.000
0.110 0.077 101324.07 6.481  NaN  NaN 80.000 0.000 0.000
0.132 0.148 101323.23 7.324  NaN  NaN 80.000 0.000 0.000
0.143 0.190 101322.72 7.766  NaN  NaN 80.000 0.000 0.000
0.153 0.239 101322.13 7.791  NaN  NaN 80.000 0.000 0.000
0.163 0.294 101321.46 7.860  NaN  NaN 80.000 0.000 0.000
0.183 0.426 101319.88 7.968  NaN  NaN 80.000 0.000 0.000
0.224 0.773 101315.71 8.185  NaN  NaN 80.000 0.000 0.000
0.305 1.809 101303.27 8.444  NaN  NaN 80.000 0.000 0.000
0.386 3.320 101285.12 8.697  NaN  NaN 80.000 0.000 0.000
0.427 4.260 101273.83 8.891  NaN  NaN 80.000 0.000 0.000
0.447 4.778 101267.62 8.973  NaN  NaN 80.000 0.000 0.000
0.457 5.048 101264.37 9.016  NaN  NaN 80.000 0.000 0.000
0.462 5.187 101262.71 9.041  NaN  NaN 80.000 0.000 0.000
0.467 5.327 101261.02 9.053 -20.869 12.360 80.000 -0.000 -0.000
0.470 5.391 101260.26 9.065 -20.719 12.290 80.001 -0.000 -0.000
0.472 5.455 101259.49 9.073 -20.570 12.221 80.002 -0.000 -0.000
0.474 5.519 101258.71 9.084 -20.423 12.153 80.004 -0.000 -0.000
0.479 5.650 101257.15 9.103 -20.131 12.019 80.008 -0.000 -0.001
0.488 5.915 101253.96 9.126 -19.559 11.757 80.022 -0.000 -0.002
0.497 6.188 101250.69 9.171 -19.001 11.505 80.045 -0.000 -0.004
0.515 6.751 101243.92 9.214 -17.926 11.026 80.112 -0.001 -0.010
0.534 7.342 101236.84 9.270 -16.899 10.581 80.214 -0.001 -0.018
0.552 7.958 101229.43 9.323 -15.901 10.165 80.357 -0.002 -0.029
0.568 8.531 101222.56 9.374 -15.033 9.816 80.522 -0.003 -0.040
0.584 9.125 101215.43 9.419 -14.179 9.488 80.723 -0.003 -0.053
0.601 9.740 101208.05 9.463 -13.336 9.178 80.961 -0.004 -0.067
0.617 10.377 101200.40 9.502 -12.502 8.884 81.235 -0.005 -0.084
0.633 11.036 101192.50 9.530 -11.674 8.607 81.549 -0.006 -0.101
0.650 11.717 101184.32 9.541 -10.840 8.344 81.908 -0.006 -0.120
0.664 12.313 101177.16 9.540 -10.128 8.131 82.251 -0.007 -0.136
0.677 12.926 101169.81 9.529 -9.410 7.927 82.629 -0.007 -0.153
0.705 14.200 101154.52 9.510 -7.962 7.544 83.486 -0.006 -0.187
0.730 15.403 101140.10 9.468 -6.635 7.225 84.375 -0.005 -0.218
0.753 16.530 101126.58 9.412 -5.427 6.957 85.264 -0.002 -0.247
0.775 17.701 101112.53 9.346 -4.219 6.704 86.228 0.001 -0.275
0.797 18.916 101097.97 9.269 -3.010 6.465 87.254 0.006 -0.304
0.820 20.174 101082.88 9.188 -1.817 6.239 88.329 0.013 -0.332
0.842 21.476 101067.27 9.108 -0.646 6.023 89.440 0.021 -0.359
0.865 22.823 101051.12 9.056 0.492 5.818 90.566 0.032 -0.385
0.875 23.434 101043.80 9.016 0.976 5.731 91.064 0.037 -0.396
0.885 24.053 101036.38 8.992 1.445 5.645 91.556 0.042 -0.408
0.895 24.682 101028.84 8.955 1.898 5.561 92.040 0.048 -0.419
0.915 25.965 101013.47 8.934 2.750 5.398 92.981 0.061 -0.441
0.934 27.283 100997.68 8.931 3.520 5.241 93.871 0.075 -0.462
0.954 28.636 100981.47 8.964 4.198 5.091 94.697 0.091 -0.483
0.974 30.023 100964.84 9.035 4.767 4.947 95.442 0.107 -0.502
0.994 31.446 100947.80 9.142 5.224 4.808 96.092 0.125 -0.520
1.014 32.903 100930.35 9.376 5.560 4.674 96.635 0.144 -0.536
1.054 35.922 100894.21 9.669 5.848 4.421 97.358 0.186 -0.565
1.094 39.078 100856.43 10.090 5.612 4.183 97.559 0.232 -0.588
1.133 42.373 100817.00 10.451 4.879 3.959 97.228 0.283 -0.606
1.173 45.806 100775.94 10.605 3.729 3.746 96.413 0.340 -0.619
1.193 47.573 100754.80 10.599 3.047 3.644 95.853 0.370 -0.625
1.213 49.375 100733.26 10.540 2.312 3.543 95.217 0.403 -0.630
1.233 51.210 100711.32 10.436 1.548 3.445 94.526 0.437 -0.635
1.253 53.079 100688.98 10.295 0.781 3.348 93.802 0.473 -0.641
1.273 54.980 100666.25 10.127 0.027 3.252 93.069 0.512 -0.646
1.293 56.915 100643.14 10.000 -0.692 3.158 92.343 0.552 -0.651
1.301 57.781 100632.80 9.874 -1.000 3.116 92.026 0.571 -0.653
1.310 58.653 100622.38 9.794 -1.300 3.074 91.713 0.591 -0.655
1.319 59.531 100611.88 9.712 -1.590 3.032 91.407 0.611 -0.657
1.328 60.416 100601.32 9.589 -1.867 2.990 91.108 0.632 -0.659
1.345 62.204 100579.96 9.467 -2.378 2.904 90.545 0.677 -0.663
1.363 64.017 100558.32 9.317 -2.811 2.818 90.042 0.725 -0.667
1.379 65.669 100538.59 9.173 -3.128 2.740 89.656 0.770 -0.671
1.395 67.342 100518.63 8.974 -3.363 2.660 89.342 0.819 -0.674
1.426 70.744 100478.02 8.772 -3.569 2.498 88.972 0.925 -0.681
1.458 74.223 100436.52 8.513 -3.398 2.329 88.975 1.043 -0.688
1.487 77.418 100398.42 8.248 -2.929 2.171 89.306 1.160 -0.693
1.512 80.343 100363.54 7.958 -2.281 2.023 89.851 1.276 -0.698
1.538 83.315 100328.12 7.649 -1.468 1.868 90.590 1.402 -0.703
1.564 86.333 100292.16 7.416 -0.560 1.707 91.462 1.538 -0.708
1.575 87.706 100275.80 7.185 -0.136 1.632 91.881 1.603 -0.710
1.587 89.088 100259.34 7.088 0.287 1.555 92.305 1.670 -0.712
1.593 89.782 100251.08 7.004 0.493 1.516 92.515 1.704 -0.713
1.598 90.478 100242.78 6.954 0.695 1.478 92.722 1.738 -0.714
1.604 91.177 100234.46 6.891 0.891 1.440 92.925 1.772 -0.715
1.616 92.580 100217.75 6.841 1.262 1.363 93.315 1.841 -0.717
1.627 93.993 100200.94 6.790 1.600 1.286 93.678 1.911 -0.719
1.639 95.414 100184.02 6.763 1.901 1.209 94.009 1.981 -0.721
1.650 96.843 100167.01 6.772 2.158 1.132 94.302 2.052 -0.723
1.662 98.280 100149.90 6.806 2.365 1.054 94.550 2.124 -0.725
1.673 99.726 100132.70 6.858 2.521 0.977 94.749 2.197 -0.727
1.685 101.180 100115.40 6.926 2.622 0.900 94.896 2.270 -0.729
1.696 102.642 100098.01 7.038 2.668 0.822 94.989 2.344 -0.730
1.720 105.590 100062.94 7.146 2.595 0.666 95.012 2.494 -0.734
1.743 108.570 100027.51 7.258 2.317 0.510 94.825 2.647 -0.738
1.766 111.581 99991.73 7.296 1.866 0.353 94.453 2.802 -0.741
1.789 114.622 99955.59 7.256 1.300 0.194 93.943 2.961 -0.744
1.810 117.384 99922.77 7.153 0.724 0.051 93.407 3.106 -0.747
1.828 119.891 99893.00 7.008 0.197 -0.074 92.895 3.235 -0.750
1.847 122.416 99863.01 6.894 -0.318 -0.190 92.381 3.359 -0.752
1.856 123.686 99847.93 6.774 -0.569 -0.246 92.128 3.420 -0.754
1.866 124.961 99832.80 6.690 -0.811 -0.302 91.879 3.479 -0.755
1.875 126.240 99817.62 6.604 -1.042 -0.356 91.639 3.538 -0.756
1.884 127.524 99802.39 6.516 -1.258 -0.410 91.411 3.596 -0.757
1.894 128.812 99787.10 6.428 -1.455 -0.463 91.198 3.654 -0.758
1.903 130.105 99771.76 6.342 -1.629 -0.515 91.006 3.711 -0.760
1.912 131.402 99756.37 6.221 -1.780 -0.566 90.836 3.767 -0.761
1.931 134.010 99725.45 6.107 -1.998 -0.665 90.574 3.877 -0.763
1.950 136.635 99694.32 5.958 -2.092 -0.761 90.431 3.984 -0.765
1.969 139.277 99662.99 5.817 -2.045 -0.853 90.424 4.088 -0.768
1.985 141.631 99635.09 5.673 -1.891 -0.931 90.533 4.178 -0.770
2.002 143.999 99607.04 5.536 -1.646 -1.006 90.741 4.264 -0.771
2.017 146.140 99581.67 5.389 -1.353 -1.071 91.005 4.340 -0.773
2.032 148.292 99556.18 5.244 -1.005 -1.133 91.331 4.413 -0.775
2.046 150.454 99530.58 5.099 -0.618 -1.193 91.703 4.484 -0.776
2.061 152.626 99504.86 4.959 -0.207 -1.249 92.107 4.552 -0.778
2.076 154.808 99479.04 4.871 0.212 -1.303 92.524 4.617 -0.780
2.083 155.761 99467.76 4.805 0.388 -1.325 92.704 4.644 -0.780
2.089 156.716 99456.46 4.774 0.558 -1.346 92.878 4.670 -0.781
2.096 157.672 99445.15 4.741 0.720 -1.366 93.047 4.695 -0.782
2.109 159.590 99422.45 4.725 1.019 -1.402 93.362 4.742 -0.783
2.122 161.515 99399.68 4.727 1.274 -1.435 93.637 4.785 -0.784
2.135 163.448 99376.82 4.755 1.476 -1.463 93.865 4.824 -0.786
2.148 165.387 99353.90 4.804 1.620 -1.488 94.038 4.859 -0.787
2.161 167.332 99330.89 4.906 1.703 -1.509 94.152 4.890 -0.788
2.187 171.244 99284.66 5.007 1.683 -1.540 94.197 4.942 -0.791
2.213 175.181 99238.15 5.105 1.434 -1.556 94.011 4.979 -0.793
2.239 179.143 99191.35 5.120 1.004 -1.558 93.634 5.002 -0.795
2.265 183.130 99144.29 5.051 0.475 -1.546 93.137 5.010 -0.798
2.288 186.738 99101.70 4.963 -0.029 -1.524 92.644 5.006 -0.800
2.300 188.550 99080.33 4.860 -0.282 -1.509 92.392 4.999 -0.801
2.311 190.366 99058.91 4.779 -0.526 -1.491 92.144 4.990 -0.802
2.323 192.186 99037.44 4.694 -0.756 -1.470 91.908 4.978 -0.803
2.335 194.011 99015.92 4.605 -0.963 -1.446 91.690 4.962 -0.804
